Source,Fichier Shopify,Avant (Ko),Après (Ko)
public/products/Patchproofgris.png,Patchproofgris.webp,2066,105
public/products/analyticprecision.png,analyticprecision.webp,1449,50
public/products/applicationdegelmen.png,applicationdegelmen.webp,2566,187
public/products/bouchonproduit.png,bouchonproduit.webp,1670,80
public/products/cellulesiliconemotif.png,cellulesiliconemotif.webp,2315,123
public/products/gelensiliconenutulisationfemme.png,gelensiliconenutulisationfemme.webp,2335,132
public/products/gelensiliconesurfondblanc.png,gelensiliconesurfondblanc.webp,1001,30
public/products/gelsilicone.png,gelsilicone.webp,1541,36
public/products/gelsiliconeavecboiteproduit.png,gelsiliconeavecboiteproduit.webp,1277,46
public/products/gelsiliconemicrospe.png,gelsiliconemicrospe.webp,1649,60
public/products/gelsiliconesurhomme.png,gelsiliconesurhomme.webp,2191,128
public/products/mannequinmetisse.png,mannequinmetisse.webp,2224,107
public/products/mannequinproof.png,mannequinproof.webp,2274,196
public/products/moleculedegelcapturer.png,moleculedegelcapturer.webp,1627,31
public/products/ordonnancepatchsilicone.png,ordonnancepatchsilicone.webp,2063,136
public/products/packagingproofpatch.png,packagingproofpatch.webp,1719,62
public/products/patchProof.png,patchProof.webp,2433,147
public/products/patchpackaging.png,patchpackaging.webp,2099,103
public/products/patchproofeditionslimitee.png,patchproofeditionslimitee.webp,1967,94
public/products/photoavion.png,photoavion.webp,2208,141
public/products/photogelavecfond.png,photogelavecfond.webp,1102,33
public/products/photogelmarketing.png,photogelmarketing.webp,1580,56
public/products/photogelsalledebain.png,photogelsalledebain.webp,1510,48
public/products/produitgelsilicone.png,produitgelsilicone.webp,2063,120
public/products/proofdansvoiture.png,proofdansvoiture.webp,1932,106
public/products/proofpochette.png,proofpochette.webp,2031,121
public/products/proofsummer.png,proofsummer.webp,2575,202
public/products/routinegirl.png,routinegirl.webp,2408,162
public/products/routinemen.png,routinemen.webp,1942,102
public/products/routineskincare.png,routineskincare.webp,2189,127
public/products/siliconegelmannequin.png,siliconegelmannequin.webp,2033,114
public/products/technologie3couchescellulaire.webp,technologie3couchescellulaire.webp,290,148
public/products/texturegelsilicone.png,texturegelsilicone.webp,1013,13
public/images/avantapresnoiretblanc.png,avantapresnoiretblanc.webp,1844,36
public/images/blouseavecproofbroder.png,blouseavecproofbroder.webp,1443,42
public/images/carnetenacier.png,carnetenacier.webp,2256,109
public/images/cicatricecesarienne.png,cicatricecesarienne.webp,797,39
public/images/distributeurproof.png,distributeurproof.webp,1551,84
public/images/hotelfemmeproof.png,hotelfemmeproof.webp,2787,245
public/images/laboproof.png,laboproof.webp,1479,39
public/images/notificationproof.png,notificationproof.webp,955,13
public/images/proofart.png,proofart.webp,1389,21
public/images/proofconferencekeynote.png,proofconferencekeynote.webp,1664,58
public/brand/proof-p-social-dark.png,proof-p-social-dark.webp,6,3
public/brand/proof-p-social-light.png,proof-p-social-light.webp,6,3
public/brand/proof-wordmark.png,proof-wordmark.webp,485,10
